,online_order,book_table,cuisines,approx_cost(for two people),listed_in(type),type,rate
31405,1,0,17,300.0,4,8,3.7
49598,0,0,1,500.0,3,0,3.7
9407,0,0,15,400.0,2,8,3.6
22294,1,0,17,400.0,2,8,3.2
48023,1,0,0,150.0,3,0,3.4
20037,1,0,17,150.0,2,8,3.1
40679,1,0,17,300.0,2,9,3.4
43715,1,1,17,1300.0,4,10,4.7
1986,0,0,17,900.0,4,3,3.6
3967,1,0,17,300.0,2,8,3.8
26774,1,0,17,300.0,2,8,3.9
43155,0,0,1,500.0,3,0,4.1
16391,1,0,17,400.0,2,8,4.2
9863,0,0,17,500.0,2,9,3.6
36679,0,1,17,1200.0,4,5,4.3
17194,1,0,17,450.0,4,8,3.9
30205,1,0,17,200.0,2,7,3.9
19878,1,0,18,100.0,2,8,3.7
21915,1,0,17,150.0,2,9,3.4
30625,0,0,17,550.0,2,8,3.8
35965,1,0,3,550.0,2,3,3.7
20148,1,0,4,1000.0,2,4,3.9
10429,1,0,17,900.0,4,4,3.8
50747,0,0,7,750.0,2,6,3.5
41122,1,1,17,600.0,2,4,3.8
23539,1,0,17,400.0,4,8,3.3
13425,1,0,17,250.0,2,8,3.9
21500,1,0,15,400.0,4,8,3.8
3579,1,0,17,500.0,4,8,3.6
45790,1,0,14,400.0,4,8,3.8
29782,1,0,17,600.0,2,3,3.8
9951,1,0,17,700.0,2,3,4.2
38995,1,0,15,350.0,4,8,3.3
15004,1,1,17,1500.0,2,4,4.3
8511,1,0,17,100.0,2,8,4.0
36192,0,0,17,1000.0,2,4,4.0
47823,0,0,10,500.0,2,8,3.7
17717,1,0,17,400.0,2,8,3.3
20923,0,0,0,400.0,3,0,3.4
36357,1,0,17,250.0,2,2,3.1
37678,0,0,17,3000.0,0,10,4.3
43877,0,0,17,1000.0,5,10,3.9
22453,0,0,17,100.0,2,8,3.2
46427,1,0,4,300.0,2,10,2.9
29501,1,0,17,400.0,2,8,4.1
29715,1,0,10,400.0,2,8,4.3
28504,1,1,17,650.0,4,3,4.2
28876,0,0,17,600.0,4,8,2.3
44995,1,0,14,450.0,2,8,3.8
44857,1,1,17,800.0,2,8,4.0
20873,0,0,17,400.0,3,6,4.2
36905,0,0,2,250.0,4,10,3.4
20718,0,0,17,450.0,2,4,3.6
36080,0,0,17,400.0,2,8,3.4
9056,1,0,17,500.0,2,9,3.8
28998,0,0,17,500.0,4,8,2.8
31778,0,0,18,150.0,4,8,3.4
22931,0,0,17,400.0,2,8,3.7
50696,1,0,14,250.0,2,8,3.5
17577,1,0,17,700.0,1,3,4.3
6820,1,0,17,500.0,2,6,3.6
16006,1,0,17,300.0,2,8,3.3
35035,1,0,17,750.0,2,4,4.1
12179,1,0,15,200.0,2,8,3.5
7346,1,0,17,600.0,2,4,3.0
25567,1,1,16,800.0,2,4,3.5
29868,1,0,17,500.0,2,8,3.1
49315,1,0,17,500.0,2,6,3.7
25424,1,0,17,400.0,2,8,3.6
31592,0,0,18,150.0,4,8,3.7
36766,1,0,17,800.0,4,4,4.0
37683,0,1,17,3400.0,0,10,4.3
37563,1,1,17,1300.0,5,10,4.2
33389,0,0,17,250.0,2,8,2.8
51477,1,0,14,300.0,4,8,3.3
27476,1,0,10,250.0,2,8,3.5
25258,1,0,17,500.0,2,4,3.6
18580,1,0,1,500.0,3,6,4.3
44034,1,0,17,800.0,2,4,2.9
6006,1,0,5,400.0,4,10,3.7
